,Reaction,Total Sens,Sens Type
170,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],70.51450717908176,H2Yield
171,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],12.43358589847865,CH4Conv
172,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],23.889184716967215,FullOxSelec
173,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],18.390057656974772,FullOxYield
174,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],5.0030143952344375,ExitT
175,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],0.6053697433400212,MaxT
176,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],248.45896903865278,DistToMaxT
177,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],1.929835269074697,O2Conv
178,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],6.5857710403414425,MaxRateCH4Conv
179,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],32.144208730118955,DistTo50CH4Conv
180,[CH]C + 2 [Pt] <=> C[Pt] + C#[Pt],30.693399146708806,SynGasSelec
181,[CH]C + 2 [Pt] <=> C[Pt] + C#[Pt],42.97407084252919,SynGasYield
182,[CH]C + 2 [Pt] <=> C[Pt] + C#[Pt],31.289997547614607,COSelec
183,[CH]C + 2 [Pt] <=> C[Pt] + C#[Pt],42.458014851972415,COYield
184,[CH]C + 2 [Pt] <=> C[Pt] + C#[Pt],32.55508230397237,H2Selec
185,[CH]C + 2 [Pt] <=> C[Pt] + C#[Pt],42.06334158644008,H2Yield
186,[CH]C + 2 [Pt] <=> C[Pt] + C#[Pt],15.300492903257354,CH4Conv
187,[CH]C + 2 [Pt] <=> C[Pt] + C#[Pt],63.5754477015174,FullOxSelec
188,[CH]C + 2 [Pt] <=> C[Pt] + C#[Pt],47.448806364294924,FullOxYield
189,[CH]C + 2 [Pt] <=> C[Pt] + C#[Pt],9.88630843352608,ExitT
190,[CH]C + 2 [Pt] <=> C[Pt] + C#[Pt],0.6562713189853067,MaxT
191,[CH]C + 2 [Pt] <=> C[Pt] + C#[Pt],123.38255374464494,DistToMaxT
192,[CH]C + 2 [Pt] <=> C[Pt] + C#[Pt],2.4081262066688143,O2Conv
193,[CH]C + 2 [Pt] <=> C[Pt] + C#[Pt],6.281422293090898,MaxRateCH4Conv
194,[CH]C + 2 [Pt] <=> C[Pt] + C#[Pt],30.52239100096627,DistTo50CH4Conv
195,[Pt] + O[Pt] <=> O.[Pt] + [Pt],8.609449744297287,SynGasSelec
196,[Pt] + O[Pt] <=> O.[Pt] + [Pt],17.747920771598267,SynGasYield
197,[Pt] + O[Pt] <=> O.[Pt] + [Pt],9.44956591481965,COSelec
198,[Pt] + O[Pt] <=> O.[Pt] + [Pt],16.445290656332265,COYield
199,[Pt] + O[Pt] <=> O.[Pt] + [Pt],9.777087347039712,H2Selec
200,[Pt] + O[Pt] <=> O.[Pt] + [Pt],18.247187808335624,H2Yield
201,[Pt] + O[Pt] <=> O.[Pt] + [Pt],9.558458050856023,CH4Conv
202,[Pt] + O[Pt] <=> O.[Pt] + [Pt],15.308097124154168,FullOxSelec
203,[Pt] + O[Pt] <=> O.[Pt] + [Pt],8.689860313537018,FullOxYield
204,[Pt] + O[Pt] <=> O.[Pt] + [Pt],3.1857114465327916,ExitT
205,[Pt] + O[Pt] <=> O.[Pt] + [Pt],0.5618758815028703,MaxT
206,[Pt] + O[Pt] <=> O.[Pt] + [Pt],283.1759985956525,DistToMaxT
207,[Pt] + O[Pt] <=> O.[Pt] + [Pt],1.5163713264938552,O2Conv
208,[Pt] + O[Pt] <=> O.[Pt] + [Pt],6.358254426527211,MaxRateCH4Conv
209,[Pt] + O[Pt] <=> O.[Pt] + [Pt],26.33483055020488,DistTo50CH4Conv
210,[CH]=O + [Pt] <=> O=C[Pt],9.115211457658228,SynGasSelec
211,[CH]=O + [Pt] <=> O=C[Pt],19.67540414907049,SynGasYield
212,[CH]=O + [Pt] <=> O=C[Pt],11.328626853696527,COSelec
